Feature,Core,Standard,Desired
NetFx4ServerFeatures,Enabled,Enabled,Enabled
NetFx4,Enabled,Enabled,Enabled
NetFx4Extended-ASPNET45,Disabled,Disabled,Enabled
MicrosoftWindowsPowerShellRoot,Enabled,Enabled,Enabled
MicrosoftWindowsPowerShell,Enabled,Enabled,Enabled
ServerCore-FullServer,Removed,Enabled,Removed
IIS-WebServerRole,Disabled,Disabled,Enabled
IIS-WebServer,Disabled,Disabled,Enabled
IIS-CommonHttpFeatures,Disabled,Disabled,Enabled
IIS-Security,Disabled,Disabled,Enabled
IIS-RequestFiltering,Disabled,Disabled,Enabled
IIS-StaticContent,Disabled,Disabled,Enabled
IIS-DefaultDocument,Disabled,Disabled,Enabled
IIS-DirectoryBrowsing,Disabled,Disabled,Enabled
IIS-HttpErrors,Disabled,Disabled,Enabled
IIS-HttpRedirect,Disabled,Disabled,Enabled
IIS-WebDAV,Disabled,Disabled,Enabled
IIS-ApplicationDevelopment,Disabled,Disabled,Enabled
IIS-WebSockets,Disabled,Disabled,Enabled
IIS-ApplicationInit,Disabled,Disabled,Enabled
IIS-NetFxExtensibility,Disabled,Disabled,Enabled
IIS-NetFxExtensibility45,Disabled,Disabled,Enabled
IIS-ISAPIExtensions,Disabled,Disabled,Enabled
IIS-ISAPIFilter,Disabled,Disabled,Enabled
IIS-ASPNET,Disabled,Disabled,Enabled
IIS-ASPNET45,Disabled,Disabled,Enabled
IIS-ASP,Disabled,Disabled,Enabled
IIS-CGI,Disabled,Disabled,Enabled
IIS-ServerSideIncludes,Disabled,Disabled,Enabled
IIS-HealthAndDiagnostics,Disabled,Disabled,Enabled
IIS-HttpLogging,Disabled,Disabled,Enabled
IIS-LoggingLibraries,Disabled,Disabled,Enabled
IIS-RequestMonitor,Disabled,Disabled,Enabled
IIS-HttpTracing,Disabled,Disabled,Enabled
IIS-CustomLogging,Disabled,Disabled,Enabled
IIS-ODBCLogging,Disabled,Disabled,Enabled
IIS-CertProvider,Disabled,Disabled,Enabled
IIS-BasicAuthentication,Disabled,Disabled,Enabled
IIS-WindowsAuthentication,Disabled,Disabled,Enabled
IIS-DigestAuthentication,Disabled,Disabled,Enabled
IIS-ClientCertificateMappingAuthentication,Disabled,Disabled,Enabled
IIS-IISCertificateMappingAuthentication,Disabled,Disabled,Enabled
IIS-URLAuthorization,Disabled,Disabled,Enabled
IIS-IPSecurity,Disabled,Disabled,Enabled
IIS-Performance,Disabled,Disabled,Enabled
IIS-HttpCompressionStatic,Disabled,Disabled,Enabled
IIS-HttpCompressionDynamic,Disabled,Disabled,Enabled
IIS-WebServerManagementTools,Disabled,Disabled,Removed
IIS-ManagementConsole,Removed,Disabled,Removed
IIS-LegacySnapIn,Removed,Disabled,Removed
IIS-ManagementScriptingTools,Disabled,Disabled,Removed
IIS-ManagementService,Disabled,Disabled,Removed
IIS-IIS6ManagementCompatibility,Disabled,Disabled,Removed
IIS-Metabase,Disabled,Disabled,Removed
IIS-WMICompatibility,Disabled,Disabled,Removed
IIS-LegacyScripts,Disabled,Disabled,Removed
IIS-FTPServer,Disabled,Disabled,Removed
IIS-FTPSvc,Disabled,Disabled,Removed
IIS-FTPExtensibility,Disabled,Disabled,Removed
WAS-WindowsActivationService,Disabled,Disabled,Enabled
WAS-ProcessModel,Disabled,Disabled,Enabled
WAS-NetFxEnvironment,Disabled,Disabled,Enabled
WAS-ConfigurationAPI,Disabled,Disabled,Enabled
IIS-HostableWebCore,Disabled,Disabled,Enabled
BITSExtensions-AdminPack,Removed,Disabled,Removed
Gateway-UI,Removed,Disabled,Removed
MSMQ,Disabled,Disabled,Removed
MSMQ-Services,Disabled,Disabled,Removed
MSMQ-Server,Disabled,Disabled,Removed
MSMQ-Triggers,Disabled,Disabled,Removed
MSMQ-ADIntegration,Disabled,Disabled,Removed
MSMQ-HTTP,Disabled,Disabled,Removed
MSMQ-Multicast,Removed,Disabled,Removed
MSMQ-DCOMProxy,Disabled,Disabled,Removed
MSMQ-RoutingServer,Disabled,Disabled,Removed
WCF-Services45,Enabled,Enabled,Enabled
WCF-HTTP-Activation45,Disabled,Disabled,Enabled
WCF-TCP-Activation45,Disabled,Disabled,Enabled
WCF-Pipe-Activation45,Disabled,Disabled,Enabled
WCF-MSMQ-Activation45,Disabled,Disabled,Removed
WCF-TCP-PortSharing45,Enabled,Enabled,Enabled
ManagementOdata,Disabled,Disabled,Removed
DSC-Service,Disabled,Disabled,Removed
IdentityServer-SecurityTokenService,Disabled,Disabled,Removed
Application-Server,Removed,Disabled,Removed
AS-NET-Framework,Removed,Disabled,Removed
Application-Server-WebServer-Support,Removed,Disabled,Removed
AS-Ent-Services,Removed,Disabled,Removed
Application-Server-TCP-Port-Sharing,Removed,Disabled,Removed
Application-Server-WAS-Support,Removed,Disabled,Removed
Application-Server-HTTP-Activation,Removed,Disabled,Removed
Application-Server-MSMQ-Activation,Removed,Disabled,Removed
Application-Server-TCP-Activation,Removed,Disabled,Removed
Application-Server-Pipe-Activation,Removed,Disabled,Removed
AS-Dist-Transaction,Removed,Disabled,Removed
AS-Incoming-Trans,Removed,Disabled,Removed
AS-Outgoing-Trans,Removed,Disabled,Removed
AS-WS-Atomic,Removed,Disabled,Removed
ADCertificateServicesRole,Disabled,Disabled,Removed
CertificateServices,Disabled,Disabled,Removed
OnlineRevocationServices,Disabled,Disabled,Removed
WebEnrollmentServices,Disabled,Disabled,Removed
NetworkDeviceEnrollmentServices,Disabled,Disabled,Removed
CertificateEnrollmentPolicyServer,Disabled,Disabled,Removed
CertificateEnrollmentServer,Disabled,Disabled,Removed
Web-Application-Proxy,Disabled,Disabled,Removed
IPAMServerFeature,Removed,Disabled,Removed
RightsManagementServices-Role,Disabled,Disabled,Removed
RightsManagementServices,Disabled,Disabled,Removed
RMS-Federation,Disabled,Disabled,Removed
RightsManagementServices-AdminTools,Disabled,Disabled,Removed
WSS-Product-Package,Disabled,Disabled,Removed
BITSExtensions-Upload,Removed,Disabled,Removed
Printing-Server-Foundation-Features,Disabled,Disabled,Removed
Printing-Server-Role,Disabled,Disabled,Removed
Printing-LPDPrintService,Disabled,Disabled,Removed
BusScan-ScanServer,Removed,Disabled,Removed
Printing-InternetPrinting-Server,Removed,Disabled,Removed
HCAP-Server,Removed,Disabled,Removed
HCSRuntime,Removed,Disabled,Removed
RemoteAccess,Disabled,Disabled,Removed
RemoteAccessServer,Disabled,Disabled,Removed
RasRoutingProtocols,Disabled,Disabled,Removed
WCF-HTTP-Activation,Disabled,Disabled,Enabled
WCF-NonHTTP-Activation,Disabled,Disabled,Enabled
WindowsPowerShellWebAccess,Disabled,Disabled,Removed
RPC-HTTP_Proxy,Disabled,Disabled,Removed
Smtpsvc-Admin-Update-Name,Removed,Disabled,Removed
Smtpsvc-Service-Update-Name,Removed,Disabled,Removed
Gateway,Removed,Disabled,Removed
WebAccess,Removed,Disabled,Removed
Microsoft-Windows-Web-Services-for-Management-IIS-Extension,Disabled,Disabled,Removed
WorkFolders-Server,Disabled,Disabled,Removed
UpdateServices,Disabled,Disabled,Removed
UpdateServices-Services,Disabled,Disabled,Removed
UpdateServices-Database,Disabled,Disabled,Removed
UpdateServices-WidDatabase,Disabled,Disabled,Removed
Microsoft-Windows-Deployment-Services,Removed,Disabled,Removed
Microsoft-Windows-Deployment-Services-Deployment-Server,Removed,Disabled,Removed
Microsoft-Windows-Deployment-Services-Transport-Server,Removed,Disabled,Removed
Microsoft-Windows-Deployment-Services-Legacy-SIS,Removed,Disabled,Removed
BitLocker,Disabled,Disabled,Removed
Bitlocker-Utilities,Disabled,Disabled,Removed
BitLocker-NetworkUnlock,Removed,Disabled,Removed
User-Interfaces-Infra,Enabled,Enabled,Enabled
Server-Gui-Mgmt,Removed,Enabled,Removed
RSAT,Removed,Enabled,Removed
CoreFileServer-RSAT,Removed,Disabled,Removed
Server-Manager-RSAT-File-Services,Removed,Disabled,Removed
Server-RSAT-SNMP,Removed,Disabled,Removed
DNS-Server-Tools,Disabled,Disabled,Removed
IPAMClientFeature,Removed,Disabled,Removed
WINS-Server-Tools,Removed,Disabled,Removed
DfsMgmt,Removed,Disabled,Removed
ADCertificateServicesManagementTools,Removed,Disabled,Removed
CertificateServicesManagementTools,Removed,Disabled,Removed
OnlineRevocationServicesManagementTools,Removed,Disabled,Removed
RSAT-AD-Tools-Feature,Disabled,Disabled,Removed
RSAT-ADDS-Tools-Feature,Disabled,Disabled,Removed
DirectoryServices-DomainController-Tools,Disabled,Disabled,Removed
DirectoryServices-ADAM-Tools,Disabled,Disabled,Removed
BitLocker-RemoteAdminTool,Removed,Disabled,Removed
BdeAducExtTool,Removed,Disabled,Removed
ActiveDirectory-PowerShell,Disabled,Disabled,Removed
DirectoryServices-DomainController,Disabled,Disabled,Removed
DirectoryServices-ISM-Smtp,Removed,Disabled,Removed
DirectoryServices-AdministrativeCenter,Disabled,Disabled,Removed
RasServerAdminTools,Removed,Disabled,Removed
DamgmtTools,Removed,Disabled,Removed
HCSUI,Removed,Disabled,Removed
Licensing-UI,Removed,Disabled,Removed
Licensing-Diagnosis-UI,Removed,Disabled,Removed
Microsoft-Windows-Deployment-Services-Admin-Pack,Removed,Disabled,Removed
DHCPServer-Tools,Removed,Disabled,Removed
FailoverCluster-Mgmt,Removed,Disabled,Removed
NetworkLoadBalancingManagementClient,Removed,Disabled,Removed
NFS-Administration,Removed,Disabled,Removed
UpdateServices-UI,Removed,Disabled,Removed
WindowsServerBackupSnapin,Removed,Enabled,Removed
FaxServiceConfigRole,Removed,Disabled,Removed
NPSManagementTools,Removed,Disabled,Removed
RightsManagementServicesManagementTools,Removed,Disabled,Removed
Security-SPP-Vmw,Removed,Disabled,Removed
FSRM-Infrastructure,Disabled,Disabled,Removed
FSRM-Management,Removed,Disabled,Removed
Microsoft-Windows-FCI-Client-Package,Disabled,Disabled,Removed
Printing-Client,Removed,Enabled,Removed
Printing-Client-Gui,Removed,Enabled,Removed
RSAT-NIS,Removed,Disabled,Removed
MicrosoftWindowsPowerShellISE,Removed,Enabled,Removed
Microsoft-Hyper-V,Disabled,Disabled,Removed
Microsoft-Hyper-V-Offline,Disabled,Disabled,Removed
Microsoft-Hyper-V-Online,Disabled,Disabled,Removed
RSAT-Hyper-V-Tools-Feature,Disabled,Disabled,Removed
Microsoft-Hyper-V-Management-Clients,Removed,Disabled,Removed
Microsoft-Hyper-V-Management-PowerShell,Disabled,Disabled,Removed
VmHostAgent,Disabled,Disabled,Removed
Server-Gui-Shell,Removed,Enabled,Removed
Internet-Explorer-Optional-amd64,Removed,Enabled,Removed
FaxServiceRole,Removed,Disabled,Removed
ServicesForNFS-ServerAndClient,Disabled,Disabled,Removed
ServerForNFS-Infrastructure,Disabled,Disabled,Removed
ClientForNFS-Infrastructure,Disabled,Disabled,Removed
SearchEngine-Server-Package,Removed,Disabled,Removed
FSRM-Infrastructure-Services,Disabled,Disabled,Removed
NPAS-Role,Removed,Disabled,Removed
IAS NT Service,Removed,Disabled,Removed
iSCSITargetServer-PowerShell,Disabled,Disabled,Removed
OEM-Appliance-OOBE,Removed,Disabled,Removed
PSync,Removed,Disabled,Removed
AppServer,Removed,Disabled,Removed
Microsoft-Windows-ServerEssentials-ServerSetup,Removed,Disabled,Removed
PKIClient-PSH-Cmdlets,Disabled,Disabled,Removed
KeyDistributionService-PSH-Cmdlets,Enabled,Enabled,Enabled
TlsSessionTicketKey-PSH-Cmdlets,Enabled,Enabled,Enabled
RemoteAccessMgmtTools,Disabled,Disabled,Removed
RemoteAccessPowerShell,Disabled,Disabled,Removed
MicrosoftWindowsPowerShellV2,Enabled,Enabled,Enabled
Server-Psh-Cmdlets,Enabled,Enabled,Enabled
UpdateServices-RSAT,Disabled,Disabled,Removed
UpdateServices-API,Disabled,Disabled,Removed
DirectoryServices-ADAM,Disabled,Disabled,Removed
AuthManager,Disabled,Disabled,Removed
ServerCore-WOW64,Enabled,Enabled,Enabled
ServerCore-EA-IME-WOW64,Enabled,Enabled,Enabled
LegacyComponents,Removed,Disabled,Removed
DirectPlay,Removed,Disabled,Removed
Windows-Identity-Foundation,Removed,Disabled,Removed
SimpleTCP,Removed,Disabled,Removed
Printing-LPRPortMonitor,Removed,Disabled,Removed
Printing-InternetPrinting-Client,Removed,Disabled,Removed
Printing-AdminTools-Collection,Removed,Disabled,Removed
ServerManager-Core-RSAT,Disabled,Disabled,Removed
ServerManager-Core-RSAT-Role-Tools,Disabled,Disabled,Removed
ServerManager-Core-RSAT-Feature-Tools,Disabled,Disabled,Removed
NetFx3ServerFeatures,Disabled,Disabled,Enabled
NetFx3,Removed,Removed,Enabled
EnhancedStorage,Disabled,Disabled,Removed
Microsoft-Windows-GroupPolicy-ServerAdminTools-Update,Disabled,Disabled,Removed
RasCMAK,Removed,Disabled,Removed
RSAT-RDS-Tools-Feature,Removed,Disabled,Removed
FailoverCluster-AdminPak,Disabled,Disabled,Removed
FailoverCluster-PowerShell,Disabled,Disabled,Removed
AdminUI,Removed,Disabled,Removed
BiometricFramework,Removed,Disabled,Removed
WindowsServerBackup,Disabled,Disabled,Removed
WindowsFeedbackForwarder,Disabled,Disabled,Removed
FileAndStorage-Services,Enabled,Enabled,Enabled
Storage-Services,Enabled,Enabled,Enabled
File-Services,Disabled,Disabled,Removed
CoreFileServer,Disabled,Disabled,Removed
File-Services-Search-Service,Disabled,Disabled,Removed
DFSN-Server,Disabled,Disabled,Removed
DFSR-Infrastructure-ServerEdition,Disabled,Disabled,Removed
FileServerVSSAgent,Disabled,Disabled,Removed
iSCSITargetServer,Disabled,Disabled,Removed
SMBHashGeneration,Disabled,Disabled,Removed
Dedup-Core,Disabled,Disabled,Removed
DHCPServer,Disabled,Disabled,Removed
DNS-Server-Full-Role,Disabled,Disabled,Removed
FailoverCluster-AutomationServer,Disabled,Disabled,Removed
FailoverCluster-CmdInterface,Disabled,Disabled,Removed
FRS-Infrastructure,Disabled,Disabled,Removed
Windows-Internal-Database,Disabled,Disabled,Removed
WINSRuntime,Disabled,Disabled,Removed
iSCSITargetStorageProviders,Disabled,Disabled,Removed
iSNS_Service,Disabled,Disabled,Removed
BITS,Disabled,Disabled,Removed
LightweightServer,Disabled,Disabled,Removed
MultipathIo,Disabled,Disabled,Removed
NetworkLoadBalancingFullServer,Disabled,Disabled,Removed
NIS,Disabled,Disabled,Removed
PeerDist,Disabled,Disabled,Removed
P2P-PnrpOnly,Disabled,Disabled,Removed
Printing-XPSServices-Features,Enabled,Enabled,Enabled
QWAVE,Disabled,Disabled,Removed
MSRDC-Infrastructure,Disabled,Disabled,Removed
RemoteAssistance,Removed,Disabled,Removed
ServerCore-EA-IME,Enabled,Enabled,Enabled
DataCenterBridging,Disabled,Disabled,Removed
ServerMediaFoundation,Disabled,Disabled,Removed
InkAndHandwritingServices,Removed,Disabled,Removed
DesktopExperience,Removed,Disabled,Removed
MediaPlayback,Removed,Disabled,Removed
WindowsMediaPlayer,Removed,Disabled,Removed
ServerMigration,Disabled,Disabled,Removed
ServerCore-Drivers-General,Enabled,Enabled,Enabled
Server-Drivers-General,Removed,Enabled,Removed
Server-Drivers-Printers,Removed,Enabled,Removed
SIS-Limited,Disabled,Disabled,Removed
SmbDirect,Enabled,Enabled,Enabled
SNMP,Disabled,Disabled,Removed
WMISnmpProvider,Disabled,Disabled,Removed
WindowsStorageManagementService,Disabled,Disabled,Removed
TelnetClient,Disabled,Disabled,Removed
TelnetServer,Removed,Disabled,Removed
Remote-Desktop-Services,Disabled,Disabled,Removed
SessionDirectory,Disabled,Disabled,Removed
SBMgr-UI,Disabled,Disabled,Removed
Licensing,Disabled,Disabled,Disabled
TFTP,Removed,Disabled,Removed
VolumeActivation-Full-Role,Disabled,Disabled,Removed
TIFFIFilter,Removed,Disabled,Removed
WirelessNetworking,Removed,Disabled,Removed
Xps-Foundation-Xps-Viewer,Removed,Disabled,Removed
SMB1Protocol,Enabled,Enabled,Enabled
SMBBW,Disabled,Disabled,Removed
FailoverCluster-FullServer,Disabled,Disabled,Removed
CCFFilter,Disabled,Disabled,Removed
ResumeKeyFilter,Disabled,Disabled,Removed
SmbWitness,Disabled,Disabled,Removed